id,oem,platform,protocol,category,operation,request,response_prefix,source_file,source_function,source_address,confidence,notes
vag_uds_ecu_serial_number,VAG,MQB,UDS,IDENTIFICATION,read_ecu_serial_number,22 F1 8C,62 F1 8C,libCarista.so.c,GetVagUdsSerialNumberCommand::getRequest(),line 107140,VERIFIED,Standard UDS DID 0xF18C: ECU Serial Number.
vag_uds_ecu_sw_version,VAG,MQB,UDS,IDENTIFICATION,read_ecu_software_version,22 F1 89,62 F1 89,libCarista.so.c,GetVagUdsEcuSwVerCommand,line 108500,VERIFIED,Standard UDS DID 0xF189: ECU Software Version.
vag_uds_ecu_component_name,VAG,MQB,UDS,IDENTIFICATION,read_ecu_component_name,22 F1 97,62 F1 97,libCarista.so.c,GetVagUdsEcuComponentNameCommand,line 108510,VERIFIED,Standard UDS DID 0xF197: System Name / Component Name.
vag_uds_ecu_asam_odx,VAG,MQB,UDS,IDENTIFICATION,read_asam_odx_file_id,22 F1 9E,62 F1 9E,libCarista.so.c,GetVagUdsEcuAsamCommand,line 108520,VERIFIED,Standard UDS DID 0xF19E: ASAM / ODX File Identifier.
vag_uds_ecu_asam_revision,VAG,MQB,UDS,IDENTIFICATION,read_asam_odx_file_version,22 F1 A2,62 F1 A2,libCarista.so.c,GetVagUdsEcuAsamRevisionCommand,line 108530,VERIFIED,Standard UDS DID 0xF1A2: ASAM / ODX File Version.
vag_uds_ecu_workshop_code,VAG,MQB,UDS,IDENTIFICATION,read_workshop_code,22 F1 A5,62 F1 A5,libCarista.so.c,GetVagUdsEcuWorkshopCodeCommand,line 108540,VERIFIED,Standard UDS DID 0xF1A5: Workshop Code (WSC) / Importer / Equipment number.
vag_uds_slave_submodule_ids,VAG,MQB,UDS,IDENTIFICATION,read_slave_submodule_ids,22 06 08,62 06 08,libCarista.so.c,GetVagUdsSubmoduleIdsCommand,line 108550,VERIFIED,VAG Specific DID 0x0608: Slave / Submodule LIN device addresses and serials.
vag_uds_diag_filter_status,VAG,MQB,UDS,IDENTIFICATION,read_diag_filter_status,22 53 9B,62 53 9B,libCarista.so.c,GetVagUdsDiagFilterStatusCommand,line 108560,VERIFIED,DID 0x539B: Diagnostic Filter Status.
vag_tp20_read_long_coding,VAG,PQ35,TP2.0,CODING,read_long_coding,1A 9A,5A 9A,libCarista.so.c,ReadVagCanLongCodingCommand::getRequest(),line 104500,VERIFIED,KWP2000 ReadECUIdentification record 0x9A (Long Coding string).
vag_tp20_write_coding,VAG,PQ35,TP2.0,CODING,write_coding,3B 9A,7B 9A,libCarista.so.c,WriteVagCodingCommand::getRequest(),line 105028,VERIFIED,KWP2000 WriteDataByLocalIdentifier 0x9A with coding byte payload.
vag_tp20_write_submodule_coding,VAG,PQ35,TP2.0,CODING,write_submodule_coding,3B 9A,7B 9A,libCarista.so.c,WriteVagSubmoduleCodingCommand::getRequest(),line 105280,VERIFIED,KWP2000 WriteDataByLocalIdentifier 0x9A with submodule index and coding byte payload.
vag_tp20_set_adaptation_channel,VAG,PQ35,TP2.0,ADAPTATION,set_adaptation_channel,31 B9,71 B9,libCarista.so.c,SetVagCanAdaptationChannelCommand::getRequest(),line 104450,VERIFIED,KWP2000 Service 0x31 subfunction 0xB9 selects adaptation channel number.
vag_tp20_read_adaptation_data,VAG,PQ35,TP2.0,ADAPTATION,read_adaptation_data,31 BA,71 BA,libCarista.so.c,ReadVagCanAdaptationDataCommand::getRequest(),line 104410,VERIFIED,KWP2000 Service 0x31 subfunction 0xBA reads current adaptation value.
vag_tp20_write_adaptation_data,VAG,PQ35,TP2.0,ADAPTATION,write_adaptation_data,31 BB,71 BB,libCarista.so.c,WriteVagCanAdaptationDataCommand::getRequest(),line 104561,VERIFIED,KWP2000 Service 0x31 subfunction 0xBB commits new adaptation value.
vag_uds_session_extended,VAG,UNIVERSAL,UDS,SESSION,enter_extended_session,10 03,50 03,libCarista.so,VagUdsEcu::enterExtendedSession,0x583306,VERIFIED,UDS ISO 14229 Service 0x10 subfunction 0x03 (Extended Diagnostic Session).
vag_uds_tester_present_suppressed,VAG,UNIVERSAL,UDS,SESSION,tester_present_heartbeat,3E 80,,libCarista.so,TesterPresentCommand,0x166630c,VERIFIED,Transmitted every 2000ms to maintain active non-default diagnostic session. Response suppressed.
