id,internal_name,category,user_visible_name,OEM,platform,ecu_address,ecu_name,protocol,session,read_operation,write_operation,value_type,allowed_values,confidence,status
FEAT_0006_ADS_MODE_RACE,car_setting_ads_mode_race,Audi Drive Select (ADS),Ads Mode Race,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x5F,INFOTAINMENT,UDS,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0007_ADS_STEERING_MENU,car_setting_ads_steering_menu,Audi Drive Select (ADS),Show steering option in ADS menu,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x5F,INFOTAINMENT,UDS,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0008_AGM_70_AH_600_CCA_H6,car_setting_agm_70_ah_600_cca_h6,Other,AGM 70Ah 600CCA H6,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0009_AGM_80_AH_700_CCA_H7,car_setting_agm_80_ah_700_cca_h7,Other,AGM 80Ah 700CCA H7,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0010_AGM_80_AH_700_CCA_T7,car_setting_agm_80_ah_700_cca_t7,Other,AGM 80Ah 700CCA T7,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0011_ALARM,car_setting_alarm,Locking: Doors & Alarm,Alarm system,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0012_ALLOW_CONFIG_BEEP_ON_LOCK_UNLOCK_REMOTE,car_setting_allow_config_beep_on_lock_unlock_remote,Locking: Beep & Blink,Allow configuring beep when locking/unlocking,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Enabled / Disabled,VERIFIED,Production-Ready
FEAT_0013_ALLOW_CONFIG_SOUND_ON_LOCK_UNLOCK_REMOTE,car_setting_allow_config_sound_on_lock_unlock_remote,Other,Allow Config Sound On Lock Unlock Remote,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Enabled / Disabled,VERIFIED,Production-Ready
FEAT_0014_ALLOW_RAIN_CLOSING,car_setting_allow_rain_closing,Windows & Sunroof,Allow rain closing,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Enabled / Disabled,VERIFIED,Production-Ready
FEAT_0015_AMBIENT_CENTRAL_CONSOLE_LIGHTING_MULTICOLOR,car_setting_ambient_central_console_lighting_multicolor,Lights: Interior,Ambient Central Console Lighting Multicolor,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0016_AMBIENT_COCKPIT_LIGHTING_MULTICOLOR,car_setting_ambient_cockpit_lighting_multicolor,Lights: Interior,Ambient Cockpit Lighting Multicolor,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0017_AMBIENT_DOOR_LIGHTING_MULTICOLOR,car_setting_ambient_door_lighting_multicolor,Lights: Interior,Ambient Door Lighting Multicolor,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0018_AMBIENT_LIGHTING_COLOR_CHOICE_VIA_DRIVING_MODE,car_setting_ambient_lighting_color_choice_via_driving_mode,Lights: Interior,Ambient Lighting Color Choice Via Driving Mode,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0019_AMBIENT_LIGHTING_COLOR_CHOICE_VIA_MENU,car_setting_ambient_lighting_color_choice_via_menu,Lights: Interior,Ambient Lighting Color Choice Via Menu,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0020_AMBIENT_LIGHTING_MENU,car_setting_ambient_lighting_menu,Lights: Interior,Ambient Lighting Menu,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0021_AMBIENT_LIGHTING_MENU_ADD_OFF_SWITCH,car_setting_ambient_lighting_menu_add_off_switch,Lights: Interior,Ambient Lighting Menu Add Off Switch,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0022_AMBIENT_ROOF_LIGHTING_MULTICOLOR,car_setting_ambient_roof_lighting_multicolor,Lights: Interior,Ambient Roof Lighting Multicolor,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0023_AMBIENT_SPEAKERS_LIGHTING_MULTICOLOR,car_setting_ambient_speakers_lighting_multicolor,Lights: Interior,Ambient Speakers Lighting Multicolor,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0024_AMBIENT_SUNROOF_LIGHTING_MULTICOLOR,car_setting_ambient_sunroof_lighting_multicolor,Lights: Interior,Ambient Sunroof Lighting Multicolor,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0025_AMBIENT_TEMPERATURE_DISPLAY,car_setting_ambient_temperature_display,Lights: Interior,Ambient temperature display,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),Numerical,Range / Percentage / Value steps,VERIFIED,Production-Ready
FEAT_0026_ANTI_KEY_LOCK_FUNCTION,car_setting_anti_key_lock_function,Other,Reminder if key is still in the vehicle,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0027_AUTO_FOLD_MIRROR_PASSENGER,car_setting_auto_fold_mirror_passenger,Mirrors,Auto fold passenger's side-view mirror (req. power folding mirrors),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x52,PASSENGER_DOOR,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0028_AUTO_FOLD_MIRRORS,car_setting_auto_fold_mirrors,Mirrors,Auto fold side-view mirrors (req. power folding mirrors),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0029_AUTO_FOLD_MIRRORS_DRIVER_STEP_1,car_setting_auto_fold_mirrors_driver_step_1,Mirrors,Auto fold driver-side mirror (req. power folding mirrors) (step 1 of 2),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0030_AUTO_FOLD_MIRRORS_DRIVER_STEP_2,car_setting_auto_fold_mirrors_driver_step_2,Mirrors,Auto fold driver-side mirror (req. power folding mirrors) (step 2 of 2),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0031_AUTO_FOLD_MIRRORS_IN_INFOTAINMENT,car_setting_auto_fold_mirrors_in_infotainment,Mirrors,Allow configuring auto-folding mirrors in infotainment,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0032_AUTO_FOLD_MIRRORS_OVERALL,car_setting_auto_fold_mirrors_overall,Mirrors,Allow auto-folding mirrors,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0033_AUTO_FOLD_MIRRORS_PASSENGER_STEP_1,car_setting_auto_fold_mirrors_passenger_step_1,Mirrors,Auto fold passenger-side mirror (req. power folding mirrors) (step 1 of 2),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0034_AUTO_FOLD_MIRRORS_PASSENGER_STEP_2,car_setting_auto_fold_mirrors_passenger_step_2,Mirrors,Auto fold passenger-side mirror (req. power folding mirrors) (step 2 of 2),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0035_AUTO_FOLD_MIRRORS_REMOTE_MODE,car_setting_auto_fold_mirrors_remote_mode,Mirrors,Auto fold mirrors via…,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0036_AUTO_HEADLIGHTS_ABOVE_140_KPH,car_setting_auto_headlights_above_140_kph,Lights: Automatic,Auto Headlights Above 140 Kph,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0037_AUTO_HOLD_WITHOUT_SEAT_BELT,car_setting_auto_hold_without_seat_belt,Dings & Warnings,Auto Hold Without Seat Belt,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x17,INSTRUMENT_CLUSTER,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0038_AUTO_LIGHTS_SENSITIVITY,car_setting_auto_lights_sensitivity,Other,Auto headlights activation threshold,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0039_AUTO_LOCK_WHEN_MOVING,car_setting_auto_lock_when_moving,Locking: Automatic,Auto-lock doors when moving,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0040_AUTO_RELOCK_TIME,car_setting_auto_relock_time,Other,"Re-lock doors automatically if you unlock, but don't open a door within…","VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),Numerical,Range / Percentage / Value steps,VERIFIED,Production-Ready
FEAT_0041_AUTO_UNFOLD_MIRRORS,car_setting_auto_unfold_mirrors,Mirrors,Auto unfold side-view mirrors,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0042_AUTO_UNLOCK,car_setting_auto_unlock,Locking: Automatic,Auto-unlock doors when key is taken out of ignition,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0043_AUTO_UNLOCK_DOORS_AFTER_CRASH,car_setting_auto_unlock_doors_after_crash,Locking: Automatic,Auto Unlock Doors After Crash,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0044_AUTO_UNLOCK_PARKED,car_setting_auto_unlock_parked,Locking: Automatic,Auto-unlock doors when shifting into park (P),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0045_AUTO_UNLOCK_WHEN_SMART_KEY_NEAR,car_setting_auto_unlock_when_smart_key_near,Locking: Automatic,Auto Unlock When Smart Key Near,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0046_AUTOMATIC_DRIVEAWAY_AFTER_SHORT_STOP_STEP_1,car_setting_automatic_driveaway_after_short_stop_step_1,Other,Automatic Driveaway After Short Stop Step 1,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0047_AUTOMATIC_DRIVEAWAY_AFTER_SHORT_STOP_STEP_2,car_setting_automatic_driveaway_after_short_stop_step_2,Other,Automatic Driveaway After Short Stop Step 2,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0048_AUX_HEATER_UNLOCKED,car_setting_aux_heater_unlocked,Other,Aux. heater unlocked,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0049_BATTERY_105AH_AGM,car_setting_battery_105ah_agm,Other,105 Ah AGM,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0050_BATTERY_110AH,car_setting_battery_110ah,Other,110 Ah,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0051_BATTERY_20AH,car_setting_battery_20ah,Other,20 Ah,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0052_BATTERY_40AH,car_setting_battery_40ah,Other,40 Ah,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
